,precision,recall,f1-score,support
T-shirt/top,0.8167791706846673,0.847,0.8316151202749141,1000.0
Trouser,0.9969104016477858,0.968,0.9822425164890917,1000.0
Pullover,0.8557213930348259,0.86,0.85785536159601,1000.0
Dress,0.9054945054945055,0.824,0.86282722513089,1000.0
Coat,0.8172147001934236,0.845,0.8308751229105211,1000.0
Sandal,0.9566929133858267,0.972,0.9642857142857142,1000.0
Shirt,0.6919242273180458,0.694,0.692960559161258,1000.0
Sneakers,0.9602577873254565,0.894,0.9259451061626102,1000.0
Bag,0.9659201557935735,0.992,0.978786383818451,1000.0
Ankle boot,0.9108818011257036,0.971,0.9399806389157793,1000.0
accuracy,0.8867,0.8867,0.8867,0.8867
macro avg,0.8877797056003814,0.8866999999999999,0.8867373748745241,10000.0
weighted avg,0.8877797056003816,0.8867,0.8867373748745239,10000.0
