,precision,recall,f1-score,support
T-shirt/top,0.842391304347826,0.775,0.8072916666666666,1000.0
Trouser,0.9917184265010351,0.958,0.9745676500508645,1000.0
Pullover,0.7866531850353893,0.778,0.7823026646556058,1000.0
Dress,0.8081818181818182,0.889,0.8466666666666666,1000.0
Coat,0.7751479289940828,0.786,0.7805362462760675,1000.0
Sandal,0.9515331355093967,0.962,0.9567379413227249,1000.0
Shirt,0.6471774193548387,0.642,0.644578313253012,1000.0
Sneakers,0.9438877755511023,0.942,0.9429429429429429,1000.0
Bag,0.949901768172888,0.967,0.9583746283448958,1000.0
Ankle boot,0.9647177419354839,0.957,0.9608433734939759,1000.0
accuracy,0.8656,0.8656,0.8656,0.8656
macro avg,0.8661310503583861,0.8656,0.8654842093673423,10000.0
weighted avg,0.8661310503583861,0.8656,0.8654842093673422,10000.0
