,precision,recall,f1-score,support
T-shirt/top,0.8706365503080082,0.848,0.8591691995947316,1000.0
Trouser,0.9879518072289156,0.984,0.9859719438877755,1000.0
Pullover,0.8471698113207548,0.898,0.8718446601941748,1000.0
Dress,0.9285714285714286,0.91,0.9191919191919193,1000.0
Coat,0.8693467336683417,0.865,0.8671679197994988,1000.0
Sandal,0.9908722109533469,0.977,0.9838872104733132,1000.0
Shirt,0.7632113821138211,0.751,0.7570564516129032,1000.0
Sneakers,0.9526112185686654,0.985,0.9685349065880039,1000.0
Bag,0.9722772277227723,0.982,0.9771144278606965,1000.0
Ankle boot,0.9826707441386341,0.964,0.9732458354366482,1000.0
accuracy,0.9164,0.9164,0.9164,0.9164
macro avg,0.9165319114594688,0.9164,0.9163184474639665,10000.0
weighted avg,0.9165319114594688,0.9164,0.9163184474639665,10000.0
