,precision,recall,f1-score,support
T-shirt/top,0.8544061302681992,0.892,0.87279843444227,1000.0
Trouser,0.9919273461150353,0.983,0.9874434957307884,1000.0
Pullover,0.8408463661453542,0.914,0.8758984187829421,1000.0
Dress,0.9165009940357853,0.922,0.9192422731804586,1000.0
Coat,0.8669314796425025,0.873,0.8699551569506726,1000.0
Sandal,0.9830339321357285,0.985,0.984015984015984,1000.0
Shirt,0.830607476635514,0.711,0.7661637931034482,1000.0
Sneakers,0.968937875751503,0.967,0.967967967967968,1000.0
Bag,0.98001998001998,0.981,0.9805097451274362,1000.0
Ankle boot,0.9702380952380952,0.978,0.9741035856573705,1000.0
accuracy,0.9206,0.9206,0.9206,0.9206
macro avg,0.9203449675987697,0.9206,0.9198098854959339,10000.0
weighted avg,0.9203449675987698,0.9206,0.9198098854959339,10000.0
