,precision,recall,f1-score,support
T-shirt/top,0.8268858800773694,0.855,0.8407079646017699,1000.0
Trouser,0.9919354838709677,0.984,0.9879518072289156,1000.0
Pullover,0.8178178178178178,0.817,0.8174087043521759,1000.0
Dress,0.879277566539924,0.925,0.9015594541910332,1000.0
Coat,0.8021547502448579,0.819,0.8104898565066798,1000.0
Sandal,0.9887755102040816,0.969,0.9787878787878789,1000.0
Shirt,0.7384441939120632,0.655,0.694223635400106,1000.0
Sneakers,0.938872970391595,0.983,0.9604298974108451,1000.0
Bag,0.9652777777777778,0.973,0.9691235059760956,1000.0
Ankle boot,0.9785714285714285,0.959,0.9686868686868686,1000.0
accuracy,0.8939,0.8939,0.8939,0.8939
macro avg,0.8928013379407883,0.8939,0.8929369573142368,10000.0
weighted avg,0.8928013379407883,0.8939,0.8929369573142368,10000.0
