,precision,recall,f1-score,support
T-shirt/top,0.8634046890927625,0.847,0.8551236749116607,1000.0
Trouser,0.9939271255060729,0.982,0.9879275653923542,1000.0
Pullover,0.8431372549019608,0.86,0.8514851485148515,1000.0
Dress,0.9271047227926078,0.903,0.9148936170212765,1000.0
Coat,0.8426197458455523,0.862,0.8521997034107761,1000.0
Sandal,0.9839195979899498,0.979,0.981453634085213,1000.0
Shirt,0.7323529411764705,0.747,0.7396039603960396,1000.0
Sneakers,0.9492682926829268,0.973,0.9609876543209876,1000.0
Bag,0.9859154929577465,0.98,0.9829488465396189,1000.0
Ankle boot,0.9734693877551021,0.954,0.9636363636363635,1000.0
accuracy,0.9087,0.9087,0.9087,0.9087
macro avg,0.9095119250701152,0.9087,0.9090260168229142,10000.0
weighted avg,0.9095119250701152,0.9087,0.9090260168229143,10000.0
