,precision,recall,f1-score,support
T-shirt/top,0.8251681075888568,0.859,0.8417442430181283,1000.0
Trouser,0.9958592132505176,0.962,0.9786368260427263,1000.0
Pullover,0.7998017839444995,0.807,0.803384768541563,1000.0
Dress,0.8608776844070962,0.922,0.8903911154031868,1000.0
Coat,0.8082851637764933,0.839,0.8233562315996074,1000.0
Sandal,0.9696356275303644,0.958,0.9637826961770624,1000.0
Shirt,0.7556818181818182,0.665,0.7074468085106382,1000.0
Sneakers,0.94140625,0.964,0.9525691699604742,1000.0
Bag,0.9767441860465116,0.966,0.971342383107089,1000.0
Ankle boot,0.9617706237424547,0.956,0.958876629889669,1000.0
accuracy,0.8898,0.8898,0.8898,0.8898
macro avg,0.8895230458468613,0.8897999999999999,0.8891530872250145,10000.0
weighted avg,0.8895230458468614,0.8898,0.8891530872250145,10000.0
