,precision,recall,f1-score,support
T-shirt/top,0.8128598848368522,0.847,0.8295788442703231,1000.0
Trouser,0.9937952430196484,0.961,0.9771225216065075,1000.0
Pullover,0.7918683446272992,0.818,0.8047220855878012,1000.0
Dress,0.8742574257425743,0.883,0.8786069651741294,1000.0
Coat,0.8017839444995044,0.809,0.8053758088601295,1000.0
Sandal,0.9461615154536391,0.949,0.947578632051922,1000.0
Shirt,0.7065677966101694,0.667,0.6862139917695473,1000.0
Sneakers,0.9516957862281603,0.926,0.9386720729853015,1000.0
Bag,0.9723926380368099,0.951,0.961577350859454,1000.0
Ankle boot,0.9279538904899135,0.966,0.9465948064674178,1000.0
accuracy,0.8777,0.8777,0.8777,0.8777
macro avg,0.8779336469544571,0.8776999999999999,0.8776043079632533,10000.0
weighted avg,0.8779336469544571,0.8777,0.8776043079632533,10000.0
