,precision,recall,f1-score,support
T-shirt/top,0.8144433299899699,0.812,0.8132198297446169,1000.0
Trouser,0.9824742268041237,0.953,0.9675126903553299,1000.0
Pullover,0.7584493041749503,0.763,0.7607178464606182,1000.0
Dress,0.8301707779886148,0.875,0.8519961051606622,1000.0
Coat,0.7504798464491362,0.782,0.7659157688540646,1000.0
Sandal,0.9284253578732107,0.908,0.9180990899898888,1000.0
Shirt,0.673224043715847,0.616,0.6433420365535248,1000.0
Sneakers,0.9018645731108931,0.919,0.910351659237246,1000.0
Bag,0.9512437810945273,0.956,0.9536159600997506,1000.0
Ankle boot,0.9250493096646942,0.938,0.9314796425024826,1000.0
accuracy,0.8522,0.8522,0.8522,0.8522
macro avg,0.8515824550865967,0.8522000000000001,0.8516250628958184,10000.0
weighted avg,0.8515824550865968,0.8522,0.8516250628958185,10000.0
