,precision,recall,f1-score,support
T-shirt/top,0.8512720156555773,0.87,0.8605341246290802,1000.0
Trouser,0.9979508196721312,0.974,0.98582995951417,1000.0
Pullover,0.8814432989690721,0.855,0.8680203045685279,1000.0
Dress,0.9119683481701286,0.922,0.9169567379413227,1000.0
Coat,0.8469184890656064,0.852,0.8494516450648055,1000.0
Sandal,0.9827235772357723,0.967,0.9747983870967742,1000.0
Shirt,0.7394789579158316,0.738,0.7387387387387386,1000.0
Sneakers,0.9409486931268151,0.972,0.9562223315297589,1000.0
Bag,0.9723320158102767,0.984,0.978131212723658,1000.0
Ankle boot,0.9665991902834008,0.955,0.9607645875251509,1000.0
accuracy,0.9089,0.9089,0.9089,0.9089
macro avg,0.9091635405904611,0.9089,0.9089448029331987,10000.0
weighted avg,0.9091635405904611,0.9089,0.9089448029331987,10000.0
