,precision,recall,f1-score,support
T-shirt/top,0.8631790744466801,0.858,0.8605817452357071,1000.0
Trouser,0.9969512195121951,0.981,0.9889112903225806,1000.0
Pullover,0.8887785501489573,0.895,0.8918784255107125,1000.0
Dress,0.912109375,0.934,0.9229249011857706,1000.0
Coat,0.8993775933609959,0.867,0.8828920570264767,1000.0
Sandal,0.9811320754716981,0.988,0.9845540607872446,1000.0
Shirt,0.7612966601178782,0.775,0.7680872150644202,1000.0
Sneakers,0.9679037111334002,0.965,0.9664496745117677,1000.0
Bag,0.9830845771144279,0.988,0.9855361596009975,1000.0
Ankle boot,0.97,0.97,0.97,1000.0
accuracy,0.9221,0.9221,0.9221,0.9221
macro avg,0.9223812836306233,0.9221,0.9221815529245678,10000.0
weighted avg,0.9223812836306233,0.9221,0.9221815529245677,10000.0
